"","ensembl_gene_id","entrezgene_id","gene_biotype","hgnc_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4469","ENSG00000235123",100506492,"lncRNA","DSCAM-AS1",93.1332134395342,-7.5436181070197,1.30969055210086,-5.75984769449474,8.41898675718386e-09,2.10542472849789e-06
"314","ENSG00000096006",10321,"protein_coding","CRISP3",2372.05010195184,-6.85105341263003,1.05011459726332,-6.52410073194333,6.84107236350357e-11,4.99827526291902e-08
"1672","ENSG00000160180",7033,"protein_coding","TFF3",6693.61657497459,-6.54240252643555,0.834378544412409,-7.84104837096797,4.46800273569637e-15,1.38738931614599e-11
"795","ENSG00000121270",85320,"protein_coding","ABCC11",2094.87521757837,-6.23905419123734,0.70436935457919,-8.85764570913896,8.17219585835684e-19,1.01504120691364e-14
"573","ENSG00000110484",4250,"protein_coding","SCGB2A2",23448.4299830669,-5.96938393508872,1.01554646584787,-5.87800178114447,4.15248452432655e-09,1.19022983342658e-06
"2209","ENSG00000173467",155465,"protein_coding","AGR3",1637.62165617534,-5.96115500031391,0.8410278100153,-7.0879404097297,1.36122556055445e-12,1.81149952990643e-09
"1117","ENSG00000135346",1081,"protein_coding","CGA",73.6057397104675,-5.75194053775092,1.11238539843547,-5.17081628888767,2.33073617127742e-07,2.7746930100364e-05
"2072","ENSG00000170367",1473,"protein_coding","CST5",21.2345572577515,-5.73714357613677,1.27279568284852,-4.50751338447112,6.55917942999375e-06,0.000331176346775646
"2405","ENSG00000180269",124274,"protein_coding","GPR139",23.2757198684547,-5.6992277428902,1.28396279619433,-4.43877950341141,9.04704417159575e-06,0.000417080760757413
"546","ENSG00000108878",786,"protein_coding","CACNG1",113.281242323893,-5.61558502851549,0.808598832190407,-6.94483445307913,3.78904385344352e-12,4.41210475209414e-09
"3296","ENSG00000213759",10720,"protein_coding","UGT2B11",29.2857341883622,-5.18849753340447,0.950536659570429,-5.45849282209618,4.80193273412808e-08,8.37473000021098e-06
"2865","ENSG00000198650",6898,"protein_coding","TAT",303.874144203325,-5.15110855286544,0.767614246341702,-6.71054318938791,1.93901243087585e-11,1.80628702998239e-08
